title,release_date,id,imdb_id
Bottoms,2023-08-25,814776,tt17527468
Midnight,2021-06-30,628704,tt14757872
Cinderella,2021-09-03,593910,tt10155932
All Fun and Games,2023-08-30,926599,tt10092698
Jolt,2021-07-15,617502,tt10228134
Escape Room: Tournament of Champions,2021-07-01,585216,tt9844522
The Out-Laws,2023-07-07,921636,tt11274492
The Requin,2022-01-28,803114,tt11348232
"Good Luck to You, Leo Grande",2022-06-16,758330,tt13352968
Monsters 103 Mercies Dragon Damnation,2024-01-21,1230393,tt30475122
Mr. Monk's Last Case: A Monk Movie,2023-12-08,1100795,tt27145269
"Lyle, Lyle, Crocodile",2022-10-07,830784,tt14668630
Fresh,2022-03-03,787752,tt13403046
Miraculous World: Shanghai – The Legend of Ladydragon,2021-05-15,726684,tt12816634
Justice League: Warworld,2023-07-25,1003581,tt27687527
Sword Art Online the Movie – Progressive – Scherzo of Deep Night,2022-10-22,893712,tt15830702
Flora and Son,2023-09-21,1059811,tt25471950
The Tragedy of Macbeth,2021-12-05,591538,tt10095582
Doors,2021-03-23,798141,tt12483708
The Collective,2023-08-04,1060090,tt23556408
Spy Kids: Armageddon,2023-09-22,790493,tt13978520
The 355,2022-01-05,522016,tt8356942
Once Upon a Studio,2023-09-24,1139087,tt28035641
Boudica,2023-10-26,975902,tt22688572
Sister Death,2023-10-05,955531,tt19175696
Patriots Time,2022-04-28,965571,tt19878422
Renfield,2023-04-07,649609,tt11358390
Soulcatcher,2023-08-02,1149381,tt28290233
War of the Worlds: The Attack,2023-04-21,1103825,tt12519802
The Vault,2021-03-04,630004,tt9742794
Speak No Evil,2022-03-17,833339,tt14253846
The French Dispatch,2021-10-21,542178,tt8847712
Day Shift,2022-08-12,755566,tt13314558
Pushpa: The Rise,2021-12-16,690957,tt9389998
Foe,2023-10-06,760245,tt8258502
Simulant,2023-03-29,942199,tt13130024
Lady Chatterley's Lover,2022-11-22,814338,tt14369780
Tom Clancy's Without Remorse,2021-04-29,567189,tt0499097
To Catch a Killer,2023-04-06,605886,tt10275534
Overhaul,2023-09-27,818511,tt16427938
Close,2022-11-01,901563,tt9660502
Accident Man: Hitman's Holiday,2022-10-14,879444,tt9669176
Finch,2021-11-04,522402,tt3420504
Turtles All the Way Down,2024-04-27,574451,tt7737224
Disquiet,2023-02-10,1072074,tt25869142
Incantation,2022-03-18,864370,tt18968540
Magic Mike's Last Dance,2023-02-09,906221,tt16280138
Sword Art Online the Movie – Progressive – Aria of a Starless Night,2021-10-30,761898,tt13424422
Encanto at the Hollywood Bowl,2022-12-28,1041513,tt22695080
Beau Is Afraid,2023-04-14,798286,tt13521006
The Fabelmans,2022-11-11,804095,tt14208870
Copshop,2021-09-09,738652,tt5748448
Blood Red Sky,2021-07-23,760883,tt6402468
I Am: Celine Dion,2024-06-18,879805,tt28620587
Lamborghini: The Man Behind the Legend,2022-11-17,457232,tt5533370
