title,release_date,id,imdb_id
Jurassic World Dominion,2022-06-01,507086,tt8041270
Black Panther: Wakanda Forever,2022-11-09,505642,tt9114286
Ghostbusters: Frozen Empire,2024-03-20,967847,tt21235248
Exhuma,2024-02-22,838209,tt27802490
Boy Kills World,2024-04-24,882059,tt13923084
PAW Patrol: The Mighty Movie,2023-09-21,893723,tt15837338
Abigail,2024-04-16,1111873,tt27489557
Venom: Let There Be Carnage,2021-09-30,580489,tt7097896
Rebel Moon - Part One: A Child of Fire,2023-12-15,848326,tt14998742
Justice League: Crisis on Infinite Earths Part One,2024-01-08,1155089,tt29195117
Killers of the Flower Moon,2023-10-18,466420,tt5537002
Thor: Love and Thunder,2022-07-06,616037,tt10648342
Encanto,2021-10-13,568124,tt2953050
The Tearsmith,2024-04-03,1127166,tt29114029
Expend4bles,2023-09-15,299054,tt3291150
Creation of the Gods I: Kingdom of Storms,2023-07-15,856289,tt6979756
Prey,2022-08-02,766507,tt11866324
The Nun II,2023-09-06,968051,tt10160976
Mean Girls,2024-01-10,673593,tt11762114
Alienoid: The Return to the Future,2024-01-10,626412,tt20201212
Hotel Transylvania: Transformania,2022-01-31,585083,tt9848626
20th Century Girl,2022-10-06,851644,tt15340724
The Suicide Squad,2021-07-28,436969,tt6334354
The Next 365 Days,2022-08-19,829560,tt21106646
Love Lies Bleeding,2024-03-08,948549,tt19637052
Turning Red,2022-03-10,508947,tt8097030
Shang-Chi and the Legend of the Ten Rings,2021-09-01,566525,tt9376612
Resident Evil: Welcome to Raccoon City,2021-11-24,460458,tt6920084
The Witch: Part 2. The Other One,2022-06-15,615173,tt13721828
Freelance,2023-10-05,897087,tt15744298
Minions: The Rise of Gru,2022-06-29,438148,tt5113044
Monster's Battlefield,2021-12-27,920342,
The Hunger Games: The Ballad of Songbirds & Snakes,2023-11-15,695721,tt10545296
Challengers,2024-04-18,937287,tt16426418
Black Adam,2022-10-19,436270,tt6443346
Woody Woodpecker Goes to Camp,2024-04-12,1239146,tt20221690
Zack Snyder's Justice League,2021-03-18,791373,tt12361974
The Bikeriders,2024-06-19,1008409,tt21454134
Talk to Me,2023-07-26,1008042,tt10638522
"Miraculous: Ladybug & Cat Noir, The Movie",2023-07-05,496450,tt10364034
Wrath of Man,2021-04-22,637649,tt11083552
Evil Dead Rise,2023-04-12,713704,tt13345606
A Quiet Place Part II,2021-05-21,520763,tt8332922
Sing 2,2021-12-01,438695,tt6467266
After Everything,2023-09-13,820525,tt15334488
Luca,2021-06-17,508943,tt12801262
Lift,2024-01-10,955916,tt14371878
The Count of Monte-Cristo,2024-06-28,1084736,tt26446278
Justice League: Crisis on Infinite Earths Part Two,2024-04-22,1209288,tt30150907
The Tomorrow War,2021-09-03,588228,tt9777666
Orion and the Dark,2024-02-01,1139829,tt28066777
The Creator,2023-09-27,670292,tt11858890
Scream VI,2023-03-08,934433,tt17663992
Fighter,2024-01-24,784651,tt13818368
Badland Hunters,2024-01-25,933131,tt29722855
Bionic,2024-05-28,1025463,tt16427902
Sting,2024-04-12,1087388,tt20112746
I Saw the TV Glow,2024-05-03,858017,tt15574270
Titane,2021-07-14,630240,tt10944760
Black Lotus,2023-04-12,996154,tt15895490
Indiana Jones and the Dial of Destiny,2023-06-25,335977,tt1462764
Argylle,2024-01-31,848538,tt15009428
Young Woman and the Sea,2024-05-31,774531,tt5177114
Winnie-the-Pooh: Blood and Honey 2,2024-03-26,1079485,tt23330554
Terrifier 2,2022-10-06,663712,tt10403420
Dungeons & Dragons: Honor Among Thieves,2023-03-23,493529,tt2906216
Shazam! Fury of the Gods,2023-03-15,594767,tt10151854
The Childe,2023-06-21,1057001,tt27534328
Blue Beetle,2023-08-16,565770,tt9362930
The OctoGames,2022-10-07,1028703,tt18559720
Miller's Girl,2024-01-18,1026436,tt8310486
Guy Ritchie's The Covenant,2023-04-19,882569,tt4873118
Mavka: The Forest Song,2023-03-02,459003,tt6685538
Jujutsu Kaisen 0,2021-12-24,810693,tt14331144
Code 8 Part II,2024-02-27,932420,tt14764464
Gran Turismo,2023-08-09,980489,tt4495098
